,mape
11,0.7742995441108245
12,1.3767797385203513
13,2.2127574692304797
14,2.632111202313301
15,2.760711198810472
16,3.3090490108298365
17,3.4483555583764716
18,4.32618831555339
19,4.7649074232850905
20,5.278497623397646
21,5.6511545195997535
22,7.067924643256009
23,6.887773895433439
24,7.136010237052029
25,4.579723107401149
26,5.573631045748926
27,6.219623548919122
28,6.864004951836816
29,7.655039317156327
30,7.987476897033242
31,8.766542131246048
32,9.08601277201969
33,9.836218746487095
34,10.38834987991642
35,10.988993919443786
36,11.629285397975716
37,12.392030163461028
38,12.772754198895782
39,13.341999314945092
40,9.146245289174015
41,10.91655215324511
42,12.066066387782644
43,13.173059358268357
44,13.560381445942888
45,14.659281383804181
46,5.944259281494603
47,6.570089596063211
48,7.873687666696163
49,9.033916254276152
50,10.157940256975142
51,9.777689115412686
52,11.082709751828151
53,12.522322758476593
54,13.471986060733727
55,13.925740592220192
56,9.303171412310798
57,11.516004386830613
58,13.394081640725124
59,14.901796778777799
60,15.299763294686597
61,15.77586495415288
62,16.952988062144104
63,17.59616353549935
64,18.773018405196808
65,19.396528645627697
66,19.43847280066984
67,20.173156620142898
68,21.428142757374165
69,21.840992165410007
70,22.25369976063943
71,19.298040383032628
72,20.048107662607926
73,21.859647946228677
74,22.576102009001524
75,23.32757981101478
76,23.542976789060436
77,24.14915149805927
78,24.613308947439496
79,25.461696592196283
80,26.347830697936875
81,25.920394146789466
82,26.814711618505033
83,27.10233456090034
84,28.04749387397497
85,28.38402506028318
86,24.4613589542986
87,25.937637345305603
88,26.788470133352625
89,28.07183346967853
90,29.24096392699737
91,25.764935254980024
92,28.077043432414715
93,28.854260994708874
94,29.2312971908052
95,30.139673415201628
96,29.884089857178424
97,30.961889223755602
98,31.270858064085736
99,31.667931667434118
100,32.69938084161269
101,32.09227677231112
102,33.497321085200085
103,33.2036371918519
104,33.72923773946587
105,34.83661705988024
106,25.260788161398693
107,26.153199189365733
108,27.202256347061144
109,28.072538284961983
110,29.301924828899967
111,29.38407441832546
112,30.76731980722546
113,31.104788579208808
114,31.603359664209624
115,31.984962444704777
116,31.776926807587095
117,32.92911366548829
118,34.04592710357344
119,34.6112554137276
120,35.88660306529263
121,28.209458717744234
122,30.068599367283078
123,31.27804460830705
124,31.773690781352528
125,33.510702852153415
126,32.59069479218738
127,33.65987427836798
128,34.240661883414816
129,34.174897056457304
130,35.32031259489736
131,35.027420629185265
132,36.41142702800269
