battery_id,feature_set,mae,rmse
B0005,base,0.03597919201583835,0.04085758261274019
B0006,base,0.022887185533715167,0.026043239064579143
B0007,base,0.014734064315724141,0.028199140962238873
B0018,base,0.037578684930198746,0.03968671639705011
B0005,extended,0.006317706613522383,0.007729332473287192
B0006,extended,0.008911918221036536,0.01255288742154655
B0007,extended,0.020618567476728453,0.022510060522252223
B0018,extended,0.009722003730303104,0.010554778437242401
