battery_id,mae_base,mae_extended,mae_delta,rmse_base,rmse_extended,rmse_delta
B0005,0.03597919201583835,0.006317706613522383,-0.029661485402315967,0.04085758261274019,0.007729332473287192,-0.033128250139452996
B0006,0.022887185533715167,0.008911918221036536,-0.01397526731267863,0.026043239064579143,0.01255288742154655,-0.013490351643032594
B0007,0.014734064315724141,0.020618567476728453,0.005884503161004312,0.028199140962238873,0.022510060522252223,-0.00568908043998665
B0018,0.037578684930198746,0.009722003730303104,-0.027856681199895643,0.03968671639705011,0.010554778437242401,-0.02913193795980771
