,mape
11,0.31151996618363775
12,0.8525942407460728
13,1.7524605555398733
14,2.274927739423906
15,2.501533314161324
16,3.127119728087728
17,3.324064622690628
18,4.242024366068603
19,4.708885027057887
20,5.241641069015191
21,5.627268083331429
22,7.05254551973604
23,6.878219630697681
24,7.130212388215222
25,4.576426183745665
26,5.571802280367569
27,6.218709360312312
28,6.863638165896671
29,7.654985006823957
30,7.987587996767477
31,8.766729335516976
32,9.086222919334306
33,9.836423757932183
34,10.388534998174487
35,10.98915350048046
36,11.629418674305994
37,12.392139013694942
38,12.772841224367815
39,13.342068025664243
40,9.146296672482162
41,10.916592315758841
42,12.066097346409832
43,13.173083044910724
44,13.5603993439912
45,14.65929491985181
46,5.944268605704003
47,6.570096558936345
48,7.873692879096933
49,9.033920137209865
50,10.157943139223862
51,9.777691219696607
52,11.082711307685846
53,12.52232390727176
54,13.471986903289865
55,13.925741206171157
56,9.303171838992156
57,11.516004701591143
58,13.394081871755354
59,14.901796947491002
60,15.299763416513715
61,15.77586504205793
62,16.952988125868885
63,17.596163581423763
64,18.77301843840175
65,19.396528669495822
66,19.438472817724552
67,20.17315663238724
68,21.428142766193787
69,21.840992171712646
70,22.253699765139313
71,19.298040386154476
72,20.04810766483954
73,21.859647947836617
74,22.57610201014871
75,23.32757981183286
76,23.542976789640868
77,24.149151498472115
78,24.61330894773263
79,25.461696592404913
80,26.34783069808531
81,25.920394146893916
82,26.814711618579274
83,27.102334560952823
84,28.04749387401224
85,28.384025060309515
86,24.461358954316577
87,25.93763734531841
88,26.78847013336169
89,28.071833469684965
90,29.240963927001935
91,25.764935254983158
92,28.07704343241696
93,28.854260994710458
94,29.23129719080631
95,30.139673415202424
96,29.884089857178974
97,30.961889223755986
98,31.27085806408601
99,31.667931667434306
100,32.69938084161282
101,32.09227677231122
102,33.49732108520015
103,33.203637191851946
104,33.72923773946591
105,34.836617059880254
106,25.26078816139871
107,26.15319918936575
108,27.202256347061144
109,28.072538284961983
110,29.301924828899967
111,29.38407441832546
112,30.76731980722546
113,31.104788579208808
114,31.603359664209624
115,31.984962444704777
116,31.776926807587095
117,32.92911366548829
118,34.04592710357344
119,34.6112554137276
120,35.88660306529263
121,28.209458717744234
122,30.068599367283078
123,31.27804460830705
124,31.773690781352528
125,33.510702852153415
126,32.59069479218738
127,33.65987427836798
128,34.240661883414816
129,34.174897056457304
130,35.32031259489736
131,35.027420629185265
132,36.41142702800269
